trip_id,time,speed,Number_of_trips
NORMAL_50_Sinhagad To Shaniwarwada_Down-1410_0,0.189166667,33.580150804615386,377.0
NORMAL_VJR6_Hinjawadi Maan Phase 3 To Bhosari_Down-0905_0,0.189444444,45.063224707500005,102.0
NORMAL_309_Dehugaon To Alandi_Down-0905_0,0.189444445,38.65939586909091,29.0
NORMAL_43_Katraj To Hinjawadi Phase 3_Up-1335_0,0.189444446,42.706547775833336,295.0
NORMAL_13_Shivajinagar To Upper Depot_Down-0905_0,0.189722223,24.2257560606,132.0
NORMAL_94_Kothrud Depot To Pune Station_Up-0840_0,0.189999999,26.57958942672727,109.0
NORMAL_256_Ma Na Pa To Balewadi Depot_Up-1445_0,0.19,36.69432175454545,445.0
NORMAL_22A_Swargate To Khandoba Mandir_Up-1430_0,0.19,33.689035553888885,61.0
NORMAL_204_Bhekrainagar To Chinchwad Gaon_Up-1445_0,0.19,31.00321894675,211.0
NORMAL_196_Tukaidarshan Kaleborate Nagar To Swargate_Down-0840_0,0.190000002,29.07139618857143,57.0
NORMAL_78_Marketyard To NDA 10 No Gate Bus Stand_Up-0855_0,0.190277776,29.886436578571427,148.0
NORMAL_152_Dhanori To MNP / KamalPark Via Lohagaon_Down-0830_0,0.190277778,26.327659708,84.0
NORMAL_21B_HEMRL Company To Swargate_Down-0855_0,0.190555554,39.4720188425,153.0
NORMAL_2_Shivajinagar To Katraj_Down-0840_0,0.190555555,31.738864528181818,221.0
NORMAL_52_Swargate To Khanapur_Up-1350_0,0.19055555500000002,27.289484194166665,344.0
NORMAL_149_Shewalwadi To Bhakti Shakti_Up-1445_0,0.190833333,30.32427224125,213.0
NORMAL_163_Kharadi Gaon (Dhole Patil Collage) To Pune Station_Down-1335_0,0.190833333,19.8185602976,350.0
NORMAL_316_Chinchwadgaon To Hinjawadi Maan Phase 3_Up-0845_0,0.190833334,42.22250806276923,33.0
NORMAL_26_Dhankawadi To Shivajinagar_Up-1430_0,0.190833334,24.804262979999997,437.0
NORMAL_175_Hadapsar Gadital To Ma Na Pa_Down-1425_0,0.190833334,27.890355678749998,258.0
NORMAL_103_Katraj To Hinjawadi - Maan Phase 3_Up-0830_0,0.191111111,33.34940489153846,145.0
NORMAL_336_Bhakti Shakti To Kesnand Phata_Down-0830_0,0.191111111,38.9533471834,42.0
NORMAL_21_Swargate To Vasantdada Putala Sangvi_Up-0850_0,0.191111112,39.973940895,124.0
NORMAL_123_Bhakti Shakti To Ma Na Pa_Down-0825_0,0.191388887,34.70421846572727,155.0
NORMAL_24_Lohagaon To Katraj_Down-0840_0,0.191388887,26.954622817545456,166.0
NORMAL_64_Warje Malwadi To Hadapsar Gadital_Down-0840_0,0.191388888,28.24971113166667,154.0
NORMAL_140_Upper Depot To Pune Station_Up-0900_0,0.191388889,35.05279940375,71.0
NORMAL_151_Alandi To Ma Na Pa Dengle Pul 2 Via 509 Pune Station (Ladies Sp)_Down-0830_0,0.191388889,38.466011636,94.0
NORMAL_365_Vadgaon Mawal To Hinjawadi Maan Phase 3_Down-0810_0,0.19138889,40.00682989746154,150.0
NORMAL_VJR5_Ma Na Pa To Mukai Chowk_Up-0830_0,0.191666665,43.91209990090909,43.0
NORMAL_376_Shewalwadi To Bhakti Shakti_Up-0725_0,0.191666667,5.051372232,10.0
NORMAL_30_Marketyard To Ghotawade Phata_Up-0900_0,0.191666667,26.510812005000002,131.0
NORMAL_165_Ma Na Pa To Wadgaonsheri_Up-0845_0,0.19166666799999998,30.931795509,78.0
NORMAL_348_Nigdi To Pune Station_Down-0845_0,0.191666668,30.168366641,130.0
NORMAL_122_Chinchwadgaon To Ma Na Pa_Down-0850_0,0.191944444,37.226790631,131.0
NORMAL_132_Shubham Society Nagar Road To Ma Na Pa_Down-0840_0,0.191944444,29.1635127295,217.0
NORMAL_144_Pune Station To Gujrat Colony_Down-0850_0,0.191944446,23.91800050309091,95.0
NORMAL_149_Shewalwadi To Pimprigaon_Up-0750_0,0.191944446,37.08248823461538,133.0
NORMAL_121_Ma Na Pa To Bhosari Terminal_Up-0840_0,0.192222221,35.94869086666667,73.0
NORMAL_306_Dange Chowk To Hinjawadi Maan Phase 3_Up-0850_0,0.192222222,36.34469010854545,115.0
NORMAL_344_Alandi To Pimple Nilakh_Up-0815_0,0.192222223,44.15559670333333,21.0
NORMAL_322_Akurdi Railway Station To Ma Na Pa River Side_Down-0850_0,0.192222224,30.877822304166667,19.0
NORMAL_71_Kothrud Depot To Sukhsagarnagar_Up-1345_0,0.192499999,21.393788748875,381.0
NORMAL_166_Pune Station To Viman Nagar_UP-0905_0,0.192500001,30.42408106888889,158.0
NORMAL_2_Shivaji Nagar To Naregaon_Down-0845_0,0.192777778,33.1565130925,196.0
NORMAL_301A_Katraj To Hadapsar Gadital_Up-0850_0,0.192777779,39.637972197333326,295.0
NORMAL_322_Akurdi Railway Station To Ma Na Pa River Side_Down-0820_0,0.193055557,42.065836779166666,161.0
NORMAL_164_Vimannagar To Swargate_DOWN-0845_0,0.193333332,31.383097829500002,186.0
NORMAL_144_Pune Station To Kothrud Stand_Down-1325_0,0.193888888,21.21063135125,401.0
NORMAL_42_Katraj To Bhakti Shakti_Up-0800_0,0.193888888,34.040364824444445,69.0
NORMAL_31_Taljai Pathar To Pune Station_Up-0855_0,0.19388888999999998,31.495666225384618,57.0
NORMAL_24_Maharashtra Housing Board Samtanagar To Katraj_Down-0830_0,0.194166666,33.92417467483333,147.0
NORMAL_376_Bhakti Shakti To Shewalwadi_Down-0755_0,0.194166666,30.799292587833335,102.0
NORMAL_292A_Kalyangaon To Swargate_Down-1400_0,0.19416666700000001,34.97734749363636,453.0
NORMAL_167_Kesnand Phata To Hadapsar Gadital_Down-0845_0,0.194444443,37.50383587090909,83.0
NORMAL_197_Hadapsar Gadital To Kothrud Depot_Up-0840_0,0.194444444,26.329881374583334,59.0
NORMAL_VJR2_Warje Malwadi To Kesnand Phata_Up-0805_0,0.194444444,39.86956519230769,98.0
NORMAL_158_Ma Na Pa To Lohgaon_Up-0840_0,0.194444446,33.38532473172727,56.0
NORMAL_111_Ma Na Pa To Bhekrainagar_Down-0835_0,0.194722222,33.59123979333334,183.0
NORMAL_336_Kesnand Phata To Bhakti Shakti_Up-1355_0,0.194722223,33.6785277504,303.0
NORMAL_14_Dhayari Maruti Mandir To Kesnand Phata_Up-0855_0,0.194722224,38.89921480444444,146.0
NORMAL_28_Katraj To Shivajinagar_Up-0850_1,0.195,28.9693242345,102.0
NORMAL_VJR2_Kesnand Phata To Warje Malwadi_Down-1405_0,0.195277778,33.39525972,517.0
NORMAL_121_Ma Na Pa To Bhosari Terminal_Up-1445_0,0.195555555,30.863389474545453,476.0
NORMAL_63_Swargate To Kalyaninagar_Up-1440_0,0.195555555,19.171958743125,249.0
NORMAL_24_Katraj To Maharashtra Housing Board Samtanagar_Up-1420_0,0.195555557,29.34498691,550.0
NORMAL_331_Charholigaon To Rahatnigaon_Up-0820_0,0.195833332,34.34232856176471,64.0
NORMAL_282_Bhosari Terminal To Warje Malwadi_Down-0825_0,0.195833332,28.7767061775,186.0
NORMAL_2_Shivajinagar To Katraj_Down-1345_0,0.195833334,22.474751455,380.0
NORMAL_336_Kesnand Phata To Bhakti Shakti_Up-0805_0,0.196111111,37.674133035454545,82.0
NORMAL_13_Shivajinagar To Upper Depot_Down-0850_0,0.196111111,33.820128196,178.0
NORMAL_14_Kesnand Phata To Dhayari Maruti Mandir_Down-1355_0,0.196111112,31.009278307166667,626.0
NORMAL_103_Kothrud Depot To Katraj_Down-0900_0,0.19638888799999998,38.71364951766667,225.0
NORMAL_208_Hadapsar Gadital To Hinjawadi Maan Phase 3_Up-0905_0,0.196388889,30.935758827571426,118.0
NORMAL_71_Kothrud Depot To Sukhsagarnagar_Up-0845_0,0.19638889,25.696146398,152.0
